property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,servant_room,store_room,facing,furnishing_type,age_possession,area_bedroom_ratio,luxury_category,floornum_category
Flat,dlf the ultima,sector 81,3.7,2103.0,3,3,3+,1,0,east,Furnished,Relatively New,701.0,Semi-Luxury,Low-rise
Independent House,Unitech Uniworld Resorts,sector 33,16.0,4518.0,5,6,2,1,1,north-east,Semi-Furnished,Relatively New,903.6,Semi-Luxury,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,3.9,2700.0,4,5,2,0,0,south,Semi-Furnished,New Property,675.0,Budget,Low-rise
Independent House,Huda Flats,sector 57,5.6,1449.0,6,6,2,1,1,north-east,Semi-Furnished,Relatively New,241.5,Semi-Luxury,Low-rise
Independent House,SS Aaron Ville,sector 49,6.0,2360.0,4,4,2,1,0,north-east,Semi-Furnished,Relatively New,590.0,Luxury,Low-rise
Flat,sobha city,sector 108,4.26,2073.0,3,4,3,0,0,north-east,Unfurnished,New Property,691.0,Budget,Mid-rise
Flat,dlf the skycourt,sector 86,2.26,1930.0,3,3,1,0,0,north-east,Unfurnished,Relatively New,643.3333333333334,Luxury,Mid-rise
Independent House,"Sector 7, Gurgaon",sector 7,4.3,1920.0,6,4,2,1,0,east,Furnished,Moderately Old,320.0,Luxury,Low-rise
Flat,tulip yellow,sector 69,2.45,1704.0,3,3,3+,0,0,north-east,Unfurnished,New Property,568.0,Semi-Luxury,Mid-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,3.1,2180.0,4,4,3+,0,0,west,Unfurnished,Relatively New,545.0,Luxury,Mid-rise
Flat,experion windchants,sector 112,6.41,3763.0,3,3,3,1,0,east,Unfurnished,Relatively New,1254.3333333333333,Semi-Luxury,High-rise
Flat,pareena mi casa,sector 68,1.88,1450.0,3,2,3,0,0,north-east,Unfurnished,Relatively New,483.3333333333333,Semi-Luxury,High-rise
Flat,godrej meridien,sector 106,4.25,2720.0,4,4,3+,1,0,north-east,Semi-Furnished,New Property,680.0,Luxury,Mid-rise
Independent House,City Shri Ram Apartments 1,sector 110,0.3,1350.0,4,4,3+,0,0,not available,Unfurnished,New Property,337.5,Budget,Low-rise
Flat,emaar palm gardens,sector 83,2.63,1900.0,3,4,3,1,0,north-east,Unfurnished,Relatively New,633.3333333333334,Luxury,Mid-rise
Flat,tata primanti,sector 72,5.35,2905.0,4,5,3+,1,0,north,Semi-Furnished,New Property,726.25,Luxury,High-rise
Flat,bptp freedom park life,sector 57,3.6,2293.0,3,4,3+,1,0,east,Unfurnished,Old Property,764.3333333333334,Budget,Mid-rise
Independent House,Green Meadows,sector 28,18.75,3825.0,6,7,3+,1,1,east,Semi-Furnished,Moderately Old,637.5,Luxury,Low-rise
Independent House,International City by SOBHA Phase 2,sector 109,14.5,3600.0,5,6,3+,1,1,west,Unfurnished,Relatively New,720.0,Semi-Luxury,Low-rise
Flat,ramprastha the edge towers,sector 37,1.1,1380.0,2,2,3,0,0,north-west,Unfurnished,Relatively New,690.0,Semi-Luxury,Low-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.49,1692.0,3,3,3,0,0,south-west,Unfurnished,Relatively New,564.0,Luxury,Mid-rise
Flat,dlf carlton estate,sector 43,3.0,1300.0,3,3,2,0,0,not available,Unfurnished,Old Property,433.3333333333333,Semi-Luxury,Low-rise
Independent House,"DLF Phase 1, Gurgaon",sector 26,25.0,4500.0,6,7,3+,1,1,north-east,Semi-Furnished,New Property,750.0,Luxury,Low-rise
Independent Builder Floor,"G block DLF City Phase 1, Gurgaon",sector 26,6.0,2844.0,4,4,2,0,0,not available,Unfurnished,New Property,711.0,Budget,Low-rise
Independent House,Ansals Palam Vihar,Old Gurgaon,5.7,2430.0,6,6,3+,0,1,west,Semi-Furnished,Moderately Old,405.0,Semi-Luxury,Low-rise
Independent House,Celebrity Homes,Old Gurgaon,5.25,3500.0,4,4,2,1,1,north,Unfurnished,Old Property,875.0,Semi-Luxury,Low-rise
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,6.19,3600.0,4,5,3,1,0,west,Semi-Furnished,New Property,900.0,Luxury,Low-rise
Flat,emaar mgf palm terraces select,sector 66,4.15,2410.0,4,5,3+,1,0,east,Semi-Furnished,Relatively New,602.5,Semi-Luxury,Low-rise
Independent House,International City by SOBHA Phase 2,sector 109,10.0,2214.0,4,4,2,1,0,north,Unfurnished,Relatively New,553.5,Semi-Luxury,Low-rise
Independent House,International City by Sobha Phase 1,sector 109,14.5,3600.0,6,8,3+,1,0,north-west,Semi-Furnished,Relatively New,600.0,Luxury,Low-rise
Flat,mahindra luminare,sector 59,7.05,3106.0,3,4,3+,1,1,north,Semi-Furnished,Relatively New,1035.3333333333333,Luxury,High-rise
Independent House,"DLF Phase 1, Gurgaon",sector 26,10.0,3240.0,4,5,3+,0,0,north-east,Unfurnished,Relatively New,810.0,Budget,Low-rise
Independent House,"Krishna Colony, Gurgaon",sector 7,1.7,1368.0,6,6,2,0,0,north-east,Unfurnished,Old Property,228.0,Budget,Low-rise
Independent House,National Media Centre,sector 24,7.19,2124.0,5,5,2,1,0,north-east,Semi-Furnished,Moderately Old,424.8,Budget,Low-rise
Independent Builder Floor,Malibu Towne,sector 47,6.5,4320.0,4,4,3,1,0,south-east,Furnished,Relatively New,1080.0,Luxury,Low-rise
Independent House,"Suncity, Gurgaon",sector 54,14.0,3240.0,6,7,3+,1,1,north-east,Semi-Furnished,Moderately Old,540.0,Luxury,Low-rise
Independent Builder Floor,"South City 2, Gurgaon",sector 49,3.0,1602.0,3,3,3,1,0,north,Semi-Furnished,New Property,534.0,Luxury,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,4.1,2700.0,4,4,2,1,0,north-east,Semi-Furnished,New Property,675.0,Budget,Low-rise
Flat,experion windchants,sector 112,7.75,4848.0,4,4,3,1,0,north,Semi-Furnished,New Property,1212.0,Luxury,Mid-rise
Flat,bestech altura,sector 79,3.8,2675.0,4,5,2,1,0,north,Unfurnished,New Property,668.75,Luxury,Low-rise
Flat,mahindra aura,sector 110,1.4,990.0,2,2,2,0,0,north,Unfurnished,Relatively New,495.0,Budget,Mid-rise
Independent House,Vipul Tatvam Villa,sector 48,10.5,3240.0,4,4,1,1,0,north,Unfurnished,New Property,810.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Block P South city 1, Gurgaon",sector 41,4.05,3200.0,4,4,2,1,0,north-east,Semi-Furnished,New Property,800.0,Semi-Luxury,Low-rise
Flat,lotus elise,sector 99,1.59,1450.0,2,2,2,0,0,north,Unfurnished,New Property,725.0,Luxury,Mid-rise
Independent Builder Floor,DLF Phase 4 Luxury Builder Floors,sector 28,4.4,2655.0,4,4,3+,1,1,north-east,Semi-Furnished,New Property,663.75,Luxury,Low-rise
Independent House,International City by Sobha Phase 1,sector 109,20.75,4500.0,5,5,3+,1,1,north,Unfurnished,Relatively New,900.0,Semi-Luxury,Low-rise
Independent House,"Om Vihar, Gurgaon",sector 23,0.63,900.0,3,2,0,0,0,not available,Unfurnished,Moderately Old,300.0,Budget,Low-rise
Flat,ats triumph,sector 104,3.85,3150.0,4,4,3+,1,0,east,Unfurnished,Relatively New,787.5,Luxury,Mid-rise
Independent House,Landmark Avana,sector 95,1.35,1708.0,3,3,2,0,0,not available,Unfurnished,Relatively New,569.3333333333334,Budget,Low-rise
Independent House,"Sector 7, Gurgaon",sector 7,3.4,1440.0,3,3,2,0,0,north-east,Unfurnished,Old Property,480.0,Budget,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,4.5,4680.0,4,4,3+,0,0,west,Unfurnished,Relatively New,1170.0,Semi-Luxury,Low-rise
Independent House,"Sector 4, Gurgaon",sector 4,4.45,2250.0,4,4,2,0,0,south,Unfurnished,Old Property,562.5,Budget,Low-rise
Flat,m3m woodshire,sector 107,1.87,1943.0,3,3,3,0,0,north,Unfurnished,Relatively New,647.6666666666666,Semi-Luxury,Low-rise
Independent Builder Floor,"Sushant Lok 3 Extension, Gurgaon",sector 57,3.75,2700.0,4,4,3+,1,0,east,Semi-Furnished,New Property,675.0,Luxury,Low-rise
Independent Builder Floor,"Sector 15 Part 2, Gurgaon",sector 15,4.8,4518.0,4,5,2,0,0,not available,Semi-Furnished,New Property,1129.5,Semi-Luxury,Low-rise
Flat,vatika city,sector 49,3.18,1669.0,3,4,3,1,1,east,Furnished,Moderately Old,556.3333333333334,Luxury,Low-rise
Flat,sobha city,sector 108,3.75,2003.0,3,4,2,0,0,north,Unfurnished,Relatively New,667.6666666666666,Luxury,Mid-rise
Independent House,"Galleria Market, Gurgaon",sector 28,11.9,3240.0,4,4,3+,1,1,south-west,Furnished,Moderately Old,810.0,Luxury,Low-rise
Flat,smart world orchard,sector 61,2.7,1626.0,3,3,3,0,0,north-east,Semi-Furnished,Relatively New,542.0,Luxury,Low-rise
Independent House,"Saraswati Enclave, Gurgaon",sector 37,0.75,500.0,2,2,1,0,0,west,Unfurnished,Relatively New,250.0,Budget,Low-rise
Independent House,"Sector 7, Gurgaon",sector 7,3.2,1440.0,5,4,2,1,0,east,Furnished,Moderately Old,288.0,Luxury,Low-rise
Flat,tulip yellow,sector 69,2.3,1704.0,3,3,3+,0,0,north-east,Unfurnished,New Property,568.0,Luxury,Low-rise
Independent House,"Nirvana Country, Gurgaon",sector 50,21.0,4500.0,6,7,3+,1,1,north,Semi-Furnished,Moderately Old,750.0,Luxury,Low-rise
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,2.4,2367.0,3,3,2,0,1,north-east,Unfurnished,Relatively New,789.0,Budget,Low-rise
Independent House,"G block DLF City Phase 1, Gurgaon",sector 26,16.25,4518.0,5,6,3+,1,0,north,Semi-Furnished,Old Property,903.6,Budget,Low-rise
Flat,bestech park view grand spa,sector 81,4.05,3185.0,4,5,2,1,0,west,Semi-Furnished,Relatively New,796.25,Semi-Luxury,Mid-rise
Independent House,Bptp Visionnaire,sector 70,6.42,6000.0,4,4,3+,1,1,east,Unfurnished,Relatively New,1500.0,Semi-Luxury,Low-rise
Independent House,"Sector 23, Gurgaon",sector 23,4.5,1449.0,3,3,2,0,0,west,Unfurnished,Old Property,483.0,Budget,Low-rise
Flat,spaze privvy the address,sector 93,2.8,2727.0,4,3,3,1,0,east,Unfurnished,Moderately Old,681.75,Luxury,Low-rise
Independent House,"T Block, DLF Phase 3, Gurgaon",sector 24,18.0,4518.0,8,9,3,1,1,east,Furnished,Old Property,564.75,Semi-Luxury,Low-rise
Flat,paras irene,sector 70,4.4,2525.0,4,5,3,1,0,north,Semi-Furnished,Relatively New,631.25,Luxury,Mid-rise
Independent Builder Floor,All Punjabi Welfare Association,sector 23,3.15,3078.0,4,4,2,0,0,north-east,Unfurnished,New Property,769.5,Semi-Luxury,Low-rise
Independent House,"Patel Nagar, Gurgaon",sector 15,2.25,1800.0,7,4,3,0,0,not available,Unfurnished,Old Property,257.14285714285717,Budget,Low-rise
Independent House,RWA Sector 46,sector 46,5.8,1548.0,6,6,2,1,0,north-west,Semi-Furnished,Relatively New,258.0,Budget,Low-rise
Independent House,Huda Sector 23,sector 23,2.85,900.0,4,4,2,0,0,east,Semi-Furnished,Relatively New,225.0,Luxury,Low-rise
Flat,silverglades the melia,Greater Gurugram - Sohna Region,1.6,1845.0,3,4,2,1,0,north,Unfurnished,New Property,615.0,Semi-Luxury,Low-rise
Flat,tata primanti,sector 72,4.2,2185.0,3,4,2,1,0,east,Unfurnished,Relatively New,728.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,"Malibu Town, Gurgaon",sector 47,3.85,2259.0,3,3,2,1,0,north,Unfurnished,New Property,753.0,Budget,Low-rise
Independent House,"C Block Mayfield Garden, Gurgaon",sector 50,6.5,2052.0,4,4,3+,0,0,north,Unfurnished,Old Property,513.0,Luxury,Low-rise
Independent Builder Floor,"Block M DLF phase 2, Gurgaon",sector 25,3.25,2700.0,3,3,3,1,0,north-east,Unfurnished,Old Property,900.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,2.65,2367.0,3,3,2,0,0,south,Unfurnished,Relatively New,789.0,Budget,Low-rise
Flat,pareena express heights,sector 99,1.94,1865.0,3,3,3,0,0,not available,Unfurnished,Relatively New,621.6666666666666,Semi-Luxury,Low-rise
Independent House,Ansal,sector 55,3.55,1800.0,3,3,3+,0,0,south-east,Unfurnished,Moderately Old,600.0,Semi-Luxury,Low-rise
Flat,dlf park place,sector 54,10.75,2704.0,4,4,3+,1,1,south,Semi-Furnished,Old Property,676.0,Luxury,Mid-rise
Independent House,"DLF Phase 2, Gurgaon",sector 25,17.0,4500.0,5,6,3+,1,1,north-east,Semi-Furnished,Moderately Old,900.0,Luxury,Low-rise
Flat,emaar mgf emerald floors premier,sector 65,3.6,1975.0,4,4,3+,1,0,east,Semi-Furnished,Relatively New,493.75,Luxury,Low-rise
Independent Builder Floor,"C block Sector 43, Gurgaon",sector 43,3.8,2700.0,4,4,2,1,0,north-east,Furnished,New Property,675.0,Budget,Low-rise
Flat,smart world orchard,sector 61,2.75,1650.0,3,3,2,0,0,east,Semi-Furnished,New Property,550.0,Semi-Luxury,Low-rise
Flat,ambience creacions,sector 22,8.55,3976.0,4,6,3+,1,0,east,Unfurnished,Moderately Old,994.0,Semi-Luxury,Low-rise
Flat,m3m golfestate,sector 65,11.15,4968.0,4,4,3,1,0,north-east,Furnished,Relatively New,1242.0,Budget,Mid-rise
Flat,bestech park view grand spa,sector 81,3.56,2660.0,3,4,3+,1,0,east,Unfurnished,Moderately Old,886.6666666666666,Luxury,Mid-rise
Flat,ss the leaf,sector 85,1.76,1640.0,2,2,3,0,0,north-east,Unfurnished,Relatively New,820.0,Luxury,Mid-rise
Flat,cghs joy kunj,sector 56,2.5,1950.0,3,3,3,0,0,not available,Unfurnished,Old Property,650.0,Budget,Low-rise
Flat,parsvnath exotica,sector 53,6.4,2895.0,3,4,3+,1,0,north-east,Semi-Furnished,Old Property,965.0,Luxury,Mid-rise
Flat,bestech park view sanskruti,sector 92,2.95,2475.0,4,5,3+,1,0,east,Unfurnished,Relatively New,618.75,Luxury,Mid-rise
Flat,shree vardhman victoria,sector 70,1.7,1350.0,2,2,3,0,0,north-west,Unfurnished,Relatively New,675.0,Semi-Luxury,Mid-rise
Flat,bestech altura,sector 79,2.62,2150.0,3,3,3,1,0,east,Unfurnished,New Property,716.6666666666666,Semi-Luxury,Mid-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.95,2500.0,4,4,2,1,0,north-east,Semi-Furnished,New Property,625.0,Luxury,Low-rise
Independent Builder Floor,"Sushant Lok 2,Sector 55, Gurgaon",sector 55,3.55,2700.0,4,4,2,1,0,east,Semi-Furnished,New Property,675.0,Budget,Low-rise
Independent Builder Floor,sector 47,sector 47,2.9,2160.0,3,3,2,0,0,not available,Semi-Furnished,New Property,720.0,Budget,Low-rise
Independent Builder Floor,BPTP Amstoria,sector 102,3.15,2229.0,3,3,3,0,1,east,Unfurnished,Relatively New,743.0,Luxury,Low-rise
Flat,mapsko royale ville,sector 82,1.84,1790.0,3,4,2,1,0,west,Unfurnished,Relatively New,596.6666666666666,Budget,Low-rise
Independent House,Emaar MGF The Vilas,sector 25,21.0,3240.0,5,6,3,1,1,east,Semi-Furnished,Relatively New,648.0,Semi-Luxury,Low-rise
Independent Builder Floor,Anant Raj Estates,sector 63,3.0,2400.0,3,3,2,0,0,east,Semi-Furnished,New Property,800.0,Semi-Luxury,Low-rise
Flat,mahindra aura,sector 110,2.1,1407.0,3,2,3,0,0,north-east,Unfurnished,Moderately Old,469.0,Budget,Low-rise
Independent House,Emaar MGF Marbella,sector 66,24.0,4500.0,5,7,3+,1,1,east,Semi-Furnished,Relatively New,900.0,Luxury,Low-rise
Independent House,International City by SOBHA Phase 2,sector 109,20.5,4500.0,5,6,3+,1,1,east,Unfurnished,Relatively New,900.0,Semi-Luxury,Low-rise
Independent Builder Floor,"DLF Phase 4, Gurgaon",sector 28,3.95,2700.0,4,4,2,1,0,west,Semi-Furnished,New Property,675.0,Budget,Low-rise
Independent Builder Floor,"South City 2, Gurgaon",sector 49,3.3,2160.0,4,3,2,0,0,north-east,Semi-Furnished,New Property,540.0,Luxury,Low-rise
Independent Builder Floor,"Block-A, DLF City Phase 1, Gurgaon",sector 26,7.5,4518.0,4,5,3+,1,0,not available,Unfurnished,New Property,1129.5,Budget,Low-rise
Independent House,Unitech Nirvana Birch Court,sector 50,11.0,4500.0,4,4,3,1,0,north-east,Unfurnished,Moderately Old,1125.0,Budget,Low-rise
Independent House,"Block M DLF phase 2, Gurgaon",sector 25,9.5,1935.0,5,5,3+,1,1,west,Semi-Furnished,Moderately Old,387.0,Semi-Luxury,Low-rise
Flat,dlf the ultima,sector 81,5.5,2825.0,4,5,3,1,0,east,Semi-Furnished,Relatively New,706.25,Luxury,Mid-rise
Flat,spaze privvy the address,sector 93,1.9,2105.0,3,4,3,1,0,west,Unfurnished,Moderately Old,701.6666666666666,Luxury,Low-rise
Flat,smart world gems,sector 89,1.55,1494.0,3,3,3,1,0,north-east,Unfurnished,New Property,498.0,Semi-Luxury,Low-rise
Flat,smart world orchard,sector 61,2.76,1680.0,3,3,2,0,0,north-east,Unfurnished,New Property,560.0,Luxury,Low-rise
Independent House,Emaar MGF Marbella,sector 66,17.25,3150.0,5,6,3+,1,1,north-east,Unfurnished,Relatively New,630.0,Luxury,Low-rise
Independent House,"DLF Phase 4, Gurgaon",sector 28,10.25,2430.0,4,5,3+,1,1,east,Semi-Furnished,Moderately Old,607.5,Luxury,Low-rise
Flat,pareena mi casa,sector 68,1.56,1245.0,2,2,3,0,0,north-east,Unfurnished,New Property,622.5,Luxury,High-rise
Independent House,Vatika Signature Villas,sector 82,5.5,2211.0,4,5,3,1,1,north-west,Unfurnished,New Property,552.75,Semi-Luxury,Low-rise
Independent House,huda,sector 45,8.5,2367.0,7,7,2,0,1,south-east,Semi-Furnished,Old Property,338.14285714285717,Semi-Luxury,Low-rise
Flat,godrej icon,sector 88,2.15,1825.0,3,3,3,1,0,north,Unfurnished,New Property,608.3333333333334,Semi-Luxury,Mid-rise
Independent House,"Block E DLF City Phase 1, Gurgaon",sector 26,13.75,2700.0,5,5,3+,1,0,north-east,Unfurnished,Old Property,540.0,Semi-Luxury,Low-rise
Independent House,"Block I South City 1, Gurgaon",sector 41,18.0,4518.0,5,4,3+,1,1,not available,Unfurnished,Moderately Old,903.6,Budget,Low-rise
Independent House,Ansals Florence Villa,sector 57,9.5,2700.0,5,7,3,0,0,east,Unfurnished,Moderately Old,540.0,Budget,Low-rise
Independent House,Ansals Palam Vihar,Old Gurgaon,1.55,594.0,2,2,2,0,0,west,Unfurnished,Old Property,297.0,Budget,Low-rise
Flat,raheja atharva,sector 109,3.15,3655.0,4,7,3+,1,0,north,Unfurnished,Relatively New,913.75,Semi-Luxury,Mid-rise
Flat,emaar mgf emerald floors premier,sector 65,4.1,1975.0,4,4,2,1,0,north-east,Semi-Furnished,Relatively New,493.75,Luxury,Low-rise
Flat,indiabulls centrum park,sector 103,1.55,1481.0,2,2,3,0,0,north,Unfurnished,Moderately Old,740.5,Luxury,Mid-rise
Independent Builder Floor,Ansal API Versalia,sector 67,2.75,2650.0,4,4,2,1,0,east,Semi-Furnished,New Property,662.5,Luxury,Low-rise
Flat,mapsko mount ville,sector 79,1.98,1620.0,3,3,2,0,0,east,Unfurnished,Relatively New,540.0,Luxury,Mid-rise
Independent House,"Sector 9A, Gurgaon",sector 9,9.5,3078.0,11,11,3+,1,0,north-west,Furnished,Moderately Old,279.8181818181818,Budget,Low-rise
Independent Builder Floor,DLF City Phase 1,sector 26,4.8,3420.0,3,3,3,0,0,not available,Unfurnished,New Property,1140.0,Budget,Low-rise
Independent House,"Sector 10A, Gurgaon",sector 10,1.35,540.0,2,2,3+,0,0,east,Unfurnished,Old Property,270.0,Budget,Low-rise
Flat,bestech park view grand spa,sector 81,5.25,4200.0,4,6,3+,1,0,west,Semi-Furnished,Moderately Old,1050.0,Luxury,High-rise
Independent Builder Floor,Smart World Gems,sector 89,1.35,1196.0,2,2,2,0,0,north-east,Unfurnished,New Property,598.0,Luxury,Low-rise
Flat,adani m2k oyster grande,sector 102,2.3,1699.0,3,3,2,0,0,not available,Unfurnished,Moderately Old,566.3333333333334,Budget,Low-rise
Independent House,DLF City Plots Phase 4,sector 28,12.5,3240.0,9,9,3+,1,0,south-east,Semi-Furnished,Moderately Old,360.0,Budget,Low-rise
Independent House,"Sector 38, Gurgaon",sector 38,11.5,2610.0,4,4,2,1,0,east,Furnished,New Property,652.5,Budget,Low-rise
Independent Builder Floor,DLF Gardencity Enclave,sector 93,1.92,1450.0,3,3,2,0,0,east,Semi-Furnished,New Property,483.3333333333333,Semi-Luxury,Low-rise
Independent Builder Floor,Private Builder Floor,sector 55,3.0,3000.0,4,4,2,1,0,north-east,Semi-Furnished,New Property,750.0,Luxury,Low-rise
Flat,dlf the ultima,sector 81,3.7,2132.0,3,3,2,1,0,east,Furnished,Moderately Old,710.6666666666666,Luxury,Mid-rise
Independent House,"Vishnu Garden, Gurgaon",sector 105,1.79,1602.0,4,3,2,1,0,not available,Unfurnished,Moderately Old,400.5,Budget,Low-rise
Independent House,Unitech Uniworld Resorts,sector 33,12.5,4500.0,5,5,3+,1,0,east,Semi-Furnished,Relatively New,900.0,Budget,Low-rise
Flat,ats kocoon,sector 109,2.7,2095.0,3,4,3,1,0,west,Unfurnished,Relatively New,698.3333333333334,Semi-Luxury,High-rise
Flat,m3m golfestate,sector 65,12.98,4944.0,4,5,3+,1,1,north,Semi-Furnished,Relatively New,1236.0,Luxury,High-rise
Independent House,DLF City Phase 1,sector 26,19.0,4518.0,5,6,3+,1,1,south,Semi-Furnished,Old Property,903.6,Semi-Luxury,Low-rise
Independent House,"Block P South city 1, Gurgaon",sector 41,10.99,3240.0,10,6,3+,1,0,east,Unfurnished,Relatively New,324.0,Budget,Low-rise
Independent House,"Part 3 Sector 5, Gurgaon",sector 5,5.1,2070.0,2,2,2,0,0,not available,Unfurnished,Moderately Old,1035.0,Budget,Low-rise
Flat,emaar gurgaon greens,sector 102,1.85,1650.0,3,3,3,1,0,east,Unfurnished,New Property,550.0,Luxury,Mid-rise
Independent House,DLF New Town Heights 2,sector 86,5.0,3307.0,5,4,3,1,0,east,Furnished,Relatively New,661.4,Budget,Low-rise
Independent House,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,7.25,1836.0,5,5,2,0,0,south,Unfurnished,Relatively New,367.2,Budget,Low-rise
Flat,lotus elise,sector 99,2.12,2075.0,3,4,3,1,0,north-east,Unfurnished,Relatively New,691.6666666666666,Semi-Luxury,Mid-rise
Independent House,"Rajiv Chowk, Gurgaon",sector 15,1.4,1350.0,6,6,3,0,0,west,Unfurnished,Old Property,225.0,Budget,Low-rise
Independent House,"Sector 66, Gurgaon",sector 66,18.0,3240.0,5,5,3+,1,1,north-east,Unfurnished,New Property,648.0,Semi-Luxury,Low-rise
Independent House,Eros Rosewood City,sector 49,8.5,4500.0,5,6,3+,1,0,north-east,Furnished,Old Property,900.0,Budget,Mid-rise
Independent Builder Floor,"Block J Pocket C Palam Vihar, Gurgaon",Old Gurgaon,3.15,1700.0,3,3,2,0,1,north,Unfurnished,New Property,566.6666666666666,Semi-Luxury,Low-rise
Independent House,"Manohar Nagar, Gurgaon",sector 8,0.55,500.0,2,2,1,0,0,north-east,Unfurnished,Moderately Old,250.0,Budget,Low-rise
Independent House,"Sector 5, Gurgaon",sector 5,3.5,1449.0,4,4,2,0,0,south-west,Unfurnished,Old Property,362.25,Budget,Low-rise
Flat,intelligentsia apartment,sector 56,2.4,1870.0,3,3,3,0,0,north-east,Unfurnished,Old Property,623.3333333333334,Semi-Luxury,Mid-rise
Independent House,"Sector 17B, Gurgaon",sector 17,7.15,2367.0,3,2,1,0,0,north-west,Unfurnished,Old Property,789.0,Budget,Low-rise
Flat,ss the leaf,sector 85,2.85,2408.0,3,4,3,1,0,east,Unfurnished,Relatively New,802.6666666666666,Luxury,Mid-rise
Flat,ashiana anmol,Greater Gurugram - Sohna Region,1.35,1210.0,2,2,3,0,0,west,Unfurnished,Relatively New,605.0,Budget,Mid-rise
Independent House,Emaar MGF Marbella,sector 66,11.5,2403.0,4,5,3,1,0,north-east,Semi-Furnished,Moderately Old,600.75,Luxury,Low-rise
Independent Builder Floor,BPTP Amstoria,sector 102,3.2,2727.0,3,3,3+,0,1,not available,Unfurnished,New Property,909.0,Luxury,Low-rise
Independent House,"Krishna Colony, Gurgaon",sector 7,1.0,1800.0,4,2,0,0,0,not available,Unfurnished,Old Property,450.0,Budget,Low-rise
Independent House,"DLF Phase 1, Gurgaon",sector 26,13.0,2700.0,7,8,3,1,0,east,Semi-Furnished,Relatively New,385.7142857142857,Budget,Low-rise
Independent House,Central Park Flower Valley Fleur Villas,Greater Gurugram - Sohna Region,8.0,3400.0,4,4,3,1,1,east,Semi-Furnished,Relatively New,850.0,Luxury,Low-rise
Independent Builder Floor,Central Park Flower Valley Flamingo Floors,sector 33,1.56,1120.0,2,2,3+,0,0,east,Unfurnished,Relatively New,560.0,Luxury,Low-rise
Flat,ireo skyon,sector 60,2.68,1374.0,2,2,2,0,0,north,Unfurnished,Relatively New,687.0,Luxury,Mid-rise
Flat,sare homes,sector 92,1.23,1326.0,3,2,2,0,0,east,Unfurnished,New Property,442.0,Semi-Luxury,Mid-rise
Flat,hero homes,sector 104,1.85,1359.0,3,2,2,0,0,east,Unfurnished,New Property,453.0,Luxury,Mid-rise
Flat,m3m soulitude,sector 89,1.54,1494.0,3,3,2,0,0,north-east,Unfurnished,New Property,498.0,Luxury,Low-rise
Independent House,Ansals Palam Vihar,Old Gurgaon,8.0,3240.0,5,5,3+,0,1,east,Unfurnished,Relatively New,648.0,Budget,Low-rise
Flat,m3m merlin,sector 67,6.15,3297.0,4,4,3,1,0,north,Unfurnished,Relatively New,824.25,Semi-Luxury,Mid-rise
Independent House,"Sushant Lok Phase 3, Gurgaon",sector 57,3.2,2900.0,4,3,2,0,0,south-east,Unfurnished,New Property,725.0,Budget,Low-rise
Independent House,"Laxman Vihar Phase 2, Gurgaon",sector 3,0.95,855.0,4,3,2,0,1,east,Unfurnished,Old Property,213.75,Budget,Low-rise
Independent House,"Block P South city 1, Gurgaon",sector 41,11.0,3240.0,10,6,3+,0,0,south-east,Semi-Furnished,Moderately Old,324.0,Budget,Low-rise
Independent House,"Block S Uppals Southend, Gurgaon",sector 49,12.0,2799.0,13,14,3+,1,1,west,Unfurnished,Moderately Old,215.30769230769232,Budget,Low-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,6.5,3600.0,4,4,2,1,0,north,Semi-Furnished,New Property,900.0,Budget,Low-rise
Flat,navyug apartments,sector 43,3.87,2700.0,4,4,3,1,0,north-west,Unfurnished,Old Property,675.0,Budget,Low-rise
Flat,antriksh heights,sector 84,1.56,1725.0,3,3,3,0,0,west,Unfurnished,Moderately Old,575.0,Luxury,Mid-rise
Independent House,"Vishnu Garden, Gurgaon",sector 105,1.29,900.0,3,3,2,0,0,east,Unfurnished,New Property,300.0,Budget,Low-rise
Independent Builder Floor,Central Park Flower Valley Cerise Floors,sector 33,1.75,1210.0,3,2,3,0,0,east,Unfurnished,Relatively New,403.3333333333333,Budget,Low-rise
Independent House,BPTP Amstoria,sector 102,2.8,2182.0,3,3,3,1,0,north-east,Unfurnished,Relatively New,727.3333333333334,Luxury,Low-rise
Independent House,Ansal Heights,sector 92,3.6,5000.0,4,4,3+,0,0,west,Unfurnished,Relatively New,1250.0,Budget,Low-rise
